question,answer,risk_severity,nist_pillar,achivement_type,identified_risk,remediation_plan,policy_document_link,id
The security of network and information systems related to the delivery of essential services is not discussed or reported on regularly at board-level?,yes,High,Identify,Not Achieved,Lack of board oversight on network and information systems security for essential services,Implement regular reporting mechanisms on network and information systems security at board level.,Information Security Policy,1
The security of network and information systems related to the delivery of essential services is not discussed or reported on regularly at board-level?,no,No risk,Identify,Not Achieved,Lack of board oversight on network and information systems security for essential services,Implement regular reporting mechanisms on network and information systems security at board level.,Information Security Policy,2
"Board-level discussions on the security of networks and information systems are based on partial or out-of-date information, without the benefit of expert guidance?",yes,High,Identify,Not Achieved,Decision-making based on outdated or incomplete information leading to potential vulnerabilities,Establish a process for regular updates on network and information systems security status with expert guidance for board discussions.,Incident-Response-Policy,3
"Board-level discussions on the security of networks and information systems are based on partial or out-of-date information, without the benefit of expert guidance?",no,No risk,Identify,Not Achieved,Decision-making based on outdated or incomplete information leading to potential vulnerabilities,Establish a process for regular updates on network and information systems security status with expert guidance for board discussions.,Incident-Response-Policy,4
The security of networks and information systems supporting your essential services is not driven effectively by the direction set at board level?,yes,High,Identify,Not Achieved,Lack of designated individual at board level accountable for security,Assign clear responsibilities at the board level for driving network and information systems security measures.,Incident-Response-Policy,5
The security of networks and information systems supporting your essential services is not driven effectively by the direction set at board level?,no,No risk,Identify,Not Achieved,Lack of designated individual at board level accountable for security,Assign clear responsibilities at the board level for driving network and information systems security measures.,Incident-Response-Policy,6
Senior management or other pockets of the organisation consider themselves exempt from some policies or expect special accommodations to be made?,yes,Medium,Identify,Not Achieved,Potential for policy non-compliance or selective adherence leading to security gaps,Implement consistent policy enforcement mechanisms and awareness programs across the Organisation.,Information Security Policy,7
Senior management or other pockets of the organisation consider themselves exempt from some policies or expect special accommodations to be made?,no,No risk,Identify,Not Achieved,Potential for policy non-compliance or selective adherence leading to security gaps,Implement consistent policy enforcement mechanisms and awareness programs across the Organisation.,Information Security Policy,8
"Your organisation's approach and policy relating to the security of networks and information systems supporting the delivery of essential services are owned and managed at board level. These are communicated, in a meaningful way, to Risk management decision-makers across the organisation?",no,Low,Identify,Achieved,Ownership and management of security policies at the board level ensuring Organisational alignment,Continue regular communication channels to ensure policy understanding and adherence.,Information Security Policy,9
"Your organisation's approach and policy relating to the security of networks and information systems supporting the delivery of essential services are owned and managed at board level. These are communicated, in a meaningful way, to Risk management decision-makers across the organisation?",yes,No risk,Identify,Achieved,Ownership and management of security policies at the board level ensuring Organisational alignment,Continue regular communication channels to ensure policy understanding and adherence.,Information Security Policy,10
"Regular board discussions on the security of network and information systems supporting the delivery of your essential service take place, based on timely and accurate information and informed by expert guidance?",no,Low,Identify,Achieved, Timely and informed board discussions enhancing proactive security measures,Maintain the current practice of regular board discussions with up-to-date information and expert guidance.,Information Security Risk Management Standard,11
"Regular board discussions on the security of network and information systems supporting the delivery of your essential service take place, based on timely and accurate information and informed by expert guidance?",yes,No risk,Identify,Achieved, Timely and informed board discussions enhancing proactive security measures,Maintain the current practice of regular board discussions with up-to-date information and expert guidance.,Information Security Risk Management Standard,12
There is a board-level individual who has overall accountability for the security of networks and information systems and drives regular discussion at board-level?,no,Low,Identify,Achieved,Clear accountability at the board level ensuring continuous focus on security matters,Regularly review accountability structures to ensure effectiveness.,Information Security Risk Management Standard,13
There is a board-level individual who has overall accountability for the security of networks and information systems and drives regular discussion at board-level?,yes,No risk,Identify,Achieved,Clear accountability at the board level ensuring continuous focus on security matters,Regularly review accountability structures to ensure effectiveness.,Information Security Risk Management Standard,14
Direction set at board level is translated into effective organisational practices that direct and control the security of the networks and information systems supporting your essential service?,no,Low,Identify,Achieved,Effective translation of board-level direction into Organisational security practices,Periodically review Organisational practices to ensure alignment with board directives.,Access Control Policy,15
Direction set at board level is translated into effective organisational practices that direct and control the security of the networks and information systems supporting your essential service?,yes,No risk,Identify,Achieved,Effective translation of board-level direction into Organisational security practices,Periodically review Organisational practices to ensure alignment with board directives.,Access Control Policy,16
"Key roles are missing, left vacant, or fulfilled on an ad-hoc or informal basis?",yes,High,Identify,Not Achieved,Roles and responsibilities for security not clearly defined at all levels,Define and communicate security roles and responsibilities clearly.,Policy is not availble,17
"Key roles are missing, left vacant, or fulfilled on an ad-hoc or informal basis?",no,No risk,Identify,Not Achieved,Roles and responsibilities for security not clearly defined at all levels,Define and communicate security roles and responsibilities clearly.,Policy is not availble,18
Staff are assigned security responsibilities but without adequate authority or resources to fulfill them.?,yes,High,Identify,Not Achieved,Staff being unable to execute security responsibilities effectively due to lack of authority or resources.,Empower staff with necessary authority and resources.,Policy is not availble,19
Staff are assigned security responsibilities but without adequate authority or resources to fulfill them.?,no,No risk,Identify,Not Achieved,Staff being unable to execute security responsibilities effectively due to lack of authority or resources.,Empower staff with necessary authority and resources.,Policy is not availble,20
Staff are unsure what their responsibilities are for the security of the essential service?,yes,High,Identify,Not Achieved,Lack of clarity leading to potential gaps or overlaps in security responsibilities.,Establish clear accountability for security at all levels.,Policy is not availble,21
Staff are unsure what their responsibilities are for the security of the essential service?,no,No risk,Identify,Not Achieved,Lack of clarity leading to potential gaps or overlaps in security responsibilities.,Establish clear accountability for security at all levels.,Policy is not availble,22
